Tanggal,Pelanggan,Deskripsi Barang,Jml,Hrg Satuan,SubTotal,Jenis Barang,Merek Barang,Salesman,Jenis Alat,Transaction_ID
2025-03-10,ONLINE 3,GERINDA DONG CHENG DSM03-100,1,"Rp248,000",248000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),GERINDA,as-0310-16
2025-03-10,ONLINE 3,X-LINE BOSCH SET (33PCS),1,"Rp184,000",184000,ACCESORIS PT,BOSCH,AHEN (SHOPEE),X-LINE,as-0310-16
2025-03-10,ONLINE 3,GERINDA MODERN SIM100B,1,"Rp240,000",240000,POWER TOOLS PT,MODERN,AHEN (SHOPEE),GERINDA,as-0310-16
2025-03-10,ONLINE 3,MATA MITTERSAW ESSEN 10X120T (ALM)	,1,"Rp170,000",170000,ACCESORIS PT,ESSEN,AHEN (SHOPEE),MATA MITTERSAW,as-0310-16
2025-03-10,ONLINE 3,ARMATURE RYU RMC 110-2,1,"Rp153,350",153350,SPARE PART PT,RYU,AHEN (SHOPEE),ARMATURE,as-0310-16
2025-03-10,ONLINE 3,GERINDA MAKITA M 0900B,1,"Rp392,200",392200,POWER TOOLS,MAKITA,AHEN (SHOPEE),GERINDA,as-0310-16
2025-03-10,ONLINE 3,GERINDA DONG CHENG DSM03-100,2,"Rp248,000",496000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),GERINDA,as-0310-16
2025-03-10,ONLINE 3,GERINDA DONG CHENG DSM03-100,2,"Rp248,000",496000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),GERINDA,as-0310-16
2025-03-10,ONLINE 3,ORBITAL SANDER DONG CHENG DSB185,1,"Rp301,000",301000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),ORBITAL SANDER,as-0310-16
2025-03-10,ONLINE 3,TRIMMER DONG CHENG DMP02-6,1,"Rp372,000",372000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),TRIMMER,as-0310-16
2025-03-10,ONLINE 3,GERINDA DONG CHENG DSM03-100,3,"Rp248,000",744000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),GERINDA,as-0310-16
2025-03-10,ONLINE 3,"GERINDA MAKITA 9553 B 4""",1,"Rp754,800",754800,POWER TOOLS,MAKITA,AHEN (SHOPEE),GERINDA,as-0310-16
2025-03-10,ONLINE 3,C.LESS IMPACT DRIVER DONG CHENG DCJZ1202I,4,"Rp395,000",1580000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),C.LESS IMPACT DRIVER,as-0310-16
2025-03-10,ONLINE 3,SERKEL MAKITA 165X60T P-67935 WOOD,3,"Rp152,000",456000,ACCESORIS PT,MAKITA,AHEN (SHOPEE),SERKEL,as-0310-16
2025-03-10,ONLINE 3,MITTER SAW MODERN M3700,1,"Rp826,200",826200,POWER TOOLS PT,MODERN,AHEN (SHOPEE),MITTER SAW,as-0310-16
2025-03-10,ONLINE 3,JET CLEANER H&L QL-2500 (UJCH0033),1,"Rp999,999",999999,POWER TOOLS,H&L,AHEN (SHOPEE),JET CLEANER,as-0310-16
2025-03-10,ONLINE 3,C.LESS HAMMER DRILL DONG CHENG DCJZ2060I EM,1,"Rp1,250,000",1250000,POWER TOOLS,DONGCHENG,AHEN (SHOPEE),C.LESS HAMMER DRILL,as-0310-16
2025-03-10,ONLINE 3,"SARINGAN UDARA TEKIRO 1/4"" AT-0A1870",1,"Rp41,175",41175,TEKNIK,TEKIRO,AHEN (TOPED),SARINGAN UDARA,at-0310-1
2025-03-10,ONLINE 3,"TANG KOMBINASI TEKIRO 8"" HITAM PL-LM0759",1,"Rp64,000",64000,TEKNIK,TEKIRO,AHEN (TOPED),TANG KOMBINASI,at-0310-1
2025-03-10,ONLINE 3,IMPACT DRILL MODERN M2150 13M,1,"Rp326,200",326200,POWER TOOLS PT,MODERN,AHEN (TOPED),IMPACT DRILL,at-0310-1
2025-03-10,ONLINE 4,GERINDA MODERN M2350B,1,"Rp250,000",250000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE 2),GERINDA,fs-0310-1
2025-03-10,ONLINE 4,GERINDA MODERN M2350B,1,"Rp250,000",250000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE 2),GERINDA,fs-0310-2
2025-03-10,ONLINE 4,"MATA BOR KERAMIK SET BOSCH 4,5,6.8,10 (2608587169)",1,"Rp205,000",205000,TEKNIK,BOSCH,FEBRI (SHOPEE 2),MATA BOR KERAMIK SET,fs-0310-2
2025-03-10,ONLINE 4,"MATA BOR KERAMIK SET BOSCH 4,5,6.8,10 (2608587169)",1,"Rp205,000",205000,TEKNIK,BOSCH,FEBRI (SHOPEE),MATA BOR KERAMIK SET,fs-0310-1
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-1
2025-03-10,ONLINE 4,"BATU POTONG WD 4""X1,2",4,"Rp2,800",11200,ACCESORIS PT,WD,FEBRI (SHOPEE),BATU POTONG,fs-0310-1
2025-03-10,ONLINE 4,"BATU POTONG WD 4""X1,2",5,"Rp2,800",14000,ACCESORIS PT,WD,FEBRI (SHOPEE),BATU POTONG,fs-0310-2
2025-03-10,ONLINE 4,CARBON BRUSH MODERN CB 51,6,"Rp1,600",9600,SPARE PART PT,MODERN,FEBRI (SHOPEE),CARBON BRUSH,fs-0310-3
2025-03-10,ONLINE 4,CARBON BRUSH MODERN CB 51,10,"Rp1,600",16000,SPARE PART PT,MODERN,FEBRI (SHOPEE),CARBON BRUSH,fs-0310-4
2025-03-10,ONLINE 4,"BATU POTONG WD 4""X1,2",10,"Rp2,800",28000,ACCESORIS PT,WD,FEBRI (SHOPEE),BATU POTONG,fs-0310-5
2025-03-10,ONLINE 4,"BATU POTONG WD 4""X1,2",10,"Rp2,800",28000,ACCESORIS PT,WD,FEBRI (SHOPEE),BATU POTONG,fs-0310-5
2025-03-10,ONLINE 4,RANTAI OREGON BELAH 070 27R-52T,1,"Rp250,000",250000,ACCESORIS CHAINSAW,OREGON,FEBRI (SHOPEE),RANTAI,fs-0310-5
2025-03-10,ONLINE 4,CARBON BRUSH MODERN CB 51,20,"Rp1,600",32000,SPARE PART PT,MODERN,FEBRI (SHOPEE),CARBON BRUSH,fs-0310-6
2025-03-10,ONLINE 4,"BATU POTONG WD 4""X1,2",20,"Rp2,800",56000,ACCESORIS PT,WD,FEBRI (SHOPEE),BATU POTONG,fs-0310-7
2025-03-10,ONLINE 4,REXCO 50 LUBRICANT 500ML,1,"Rp42,800",42800,LUBRICANT,REXCO,FEBRI (SHOPEE),,fs-0310-7
2025-03-10,ONLINE 4,ARMATURE MODERN M 2300B/SIM100,1,"Rp90,000",90000,SPARE PART PT,MODERN,FEBRI (SHOPEE),ARMATURE,fs-0310-7
2025-03-10,ONLINE 4,STATOR MODERN M 2900 PLANER,1,"Rp74,500",74500,SPARE PART PT,MODERN,FEBRI (SHOPEE),STATOR,fs-0310-7
2025-03-10,ONLINE 4,DRILL MODERN M2100B,1,"Rp227,000",227000,POWER TOOLS,MODERN,FEBRI (SHOPEE),DRILL,fs-0310-7
2025-03-10,ONLINE 4,MATA JIGSAW NO MAKITA 10 A-85818,5,"Rp17,600",88000,ACCESORIS PT,MAKITA,FEBRI (SHOPEE),MATA JIGSAW NO,fs-0310-7
2025-03-10,ONLINE 4,GERINDA DONG CHENG DSM03-100,1,"Rp248,000",248000,POWER TOOLS,DONGCHENG,FEBRI (SHOPEE),GERINDA,fs-0310-7
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-8
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-9
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-10
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-11
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-12
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-13
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-14
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-15
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-16
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-17
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-18
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-19
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-20
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-21
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-22
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-23
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-24
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-25
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-26
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-27
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-28
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-29
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-30
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-31
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-32
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-33
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-34
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-35
2025-03-10,ONLINE 4,"GERINDA MODERN M2300B  4"" HIJAU",1,"Rp245,000",245000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-36
2025-03-10,ONLINE 4,DRILL H&L PRO 10RE IRON CHUCK,1,"Rp220,000",220000,POWER TOOLS,H&L,FEBRI (SHOPEE),DRILL,fs-0310-36
2025-03-10,ONLINE 4,ARMATURE MODERN M 2400,1,"Rp150,200",150200,SPARE PART PT,MODERN,FEBRI (SHOPEE),ARMATURE,fs-0310-36
2025-03-10,ONLINE 4,GERINDA MODERN M2340 V,1,"Rp277,700",277700,POWER TOOLS,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-37
2025-03-10,ONLINE 4,"CORE BIT DCA 51X370MM (2"")",1,"Rp132,000",132000,TEKNIK,DCA,FEBRI (SHOPEE),CORE BIT,fs-0310-38
2025-03-10,ONLINE 4,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-39
2025-03-10,ONLINE 4,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-39
2025-03-10,ONLINE 4,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-39
2025-03-10,ONLINE 4,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),GERINDA,fs-0310-39
2025-03-10,ONLINE 4,JIG SAW MODERN M2200B,1,"Rp273,400",273400,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),JIG SAW,fs-0310-40
2025-03-10,ONLINE 4,"MATA BOR KERAMIK SET BOSCH 4,5,6.8,10 (2608587169)",1,"Rp205,000",205000,TEKNIK,BOSCH,FEBRI (SHOPEE),MATA BOR KERAMIK SET,fs-0310-40
2025-03-10,ONLINE 4,GERINDA MAKITA M 0900B,1,"Rp392,200",392200,POWER TOOLS,MAKITA,FEBRI (SHOPEE),GERINDA,fs-0310-40
2025-03-10,ONLINE 4,PLANER MODERN M 2900,1,"Rp395,000",395000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),PLANER,fs-0310-41
2025-03-10,ONLINE 4,PLANER MODERN M 2900,1,"Rp395,000",395000,POWER TOOLS PT,MODERN,FEBRI (SHOPEE),PLANER,fs-0310-41
2025-03-10,ONLINE 4,JET CLEANER H&L QL-2500 (UJCH0033),1,"Rp999,000",999000,POWER TOOLS,H&L,FEBRI (SHOPEE),JET CLEANER,fs-0310-41
2025-03-10,ONLINE 4,C.LESS IMPACT WRENCH MODERN M-65,1,"Rp1,125,000",1125000,POWER TOOLS,MODERN,FEBRI (SHOPEE),C.LESS IMPACT WRENCH,fs-0310-41
2025-03-10,CASH/TUNAI,OBENG KRISTAL TEKIRO (+) PH0X75MM (3.2) SD-IL0792,1,"Rp17,000",17000,TEKNIK,TEKIRO,HANA,OBENG KRISTAL,h-0310-1
2025-03-10,CASH/TUNAI,OBENG KETOK TEMBUS HIJAU TEKIRO (+) PH1X75MM SD-GT0866,1,"Rp18,000",18000,TEKNIK,TEKIRO,HANA,OBENG KETOK TEMBUS HIJAU,h-0310-1
2025-03-10,CASH/TUNAI,AMPLAS BULAT FRT 4#80,10,"Rp1,000",10000,TEKNIK,FRT,HANA,AMPLAS BULAT,h-0310-1
2025-03-10,CASH/TUNAI,"RUBBER PAD KRETEK RRT 4""",4,"Rp5,000",20000,TEKNIK,RRT,HANA,RUBBER PAD KRETEK,h-0310-1
2025-03-10,JKS - LARANTUKA,GERINDA BOSCH GWS 750-100 06013940K0,4,"Rp756,000",3024000,POWER TOOLS,BOSCH,HANA,GERINDA,h-0310-1
2025-03-10,CASH/TUNAI,"DIAMOND WHEEL KOSOKU 4"" DRY",2,"Rp30,000",60000,TEKNIK,KOSOKU,HANA,DIAMOND WHEEL,h-0310-1
2025-03-10,CASH/TUNAI,MATA BOR SDS PLUS (CROSS) HERRISH 6MMX210MM,2,"Rp25,000",50000,ACCESORIS PT,HERRISH,HANA,MATA BOR SDS PLUS (CROSS),h-0310-1
2025-03-10,JKS - LARANTUKA,"EXT SOCK TEKIRO 1/2""X5"" SC-EB0584",24,"Rp37,250",894000,TEKNIK,TEKIRO,HANA,EXT SOCK,h-0310-1
2025-03-10,CASH/TUNAI,JASA SERVICE TEKNIK,1,"Rp30,000",30000,-,-,HANA,JASA SERVICE TEKNIK,h-0310-1
2025-03-10,JKS - LARANTUKA,"RATCHET HANDLE TEKIRO 1/2""X10"" RH0562",6,"Rp185,000",1110000,TEKNIK,TEKIRO,HANA,RATCHET HANDLE,h-0310-1
2025-03-10,SK,PLANER MAKITA 1902B,2,"Rp750,000",1500000,POWER TOOLS,MAKITA,HANA,PLANER,h-0310-1
2025-03-10,SK,GERINDA MAKITA M 0900B,2,"Rp360,000",720000,POWER TOOLS,MAKITA,HANA,GERINDA,h-0310-1
2025-03-10,JKS - LARANTUKA,C.LESS IMPACT MODERN M-15,3,"Rp520,000",1560000,POWER TOOLS,MODERN,HANA,C.LESS IMPACT,h-0310-1
2025-03-10,MERK JKS/SURYA,OTOMATIS RADAR ST 70 TANDON,10,"Rp50,000",500000,SPARE PART,RRT,HANA,OTOMATIS RADAR ST 70 TANDON,h-0310-1
2025-03-10,JKS - LARANTUKA,C.LESS DRILL MODERN M-12V,3,"Rp345,000",1035000,POWER TOOLS,MODERN,HANA,C.LESS DRILL,h-0310-1
2025-03-10,JKS - LARANTUKA,GERINDA BOSCH GWS 700 06013A31K0,3,"Rp406,100",1218300,POWER TOOLS,BOSCH,HANA,GERINDA,h-0310-1
2025-03-10,MERK JKS/SURYA,"TABLE SAW MODERN M-608 (8"")",1,"Rp1,230,000",1230000,POWER TOOLS,MODERN,HANA,TABLE SAW,h-0310-1
2025-03-10,CASH/TUNAI,ROTARY HAMMER MAKITA M 8700B,1,"Rp1,490,000",1490000,POWER TOOLS,MAKITA,HANA,ROTARY HAMMER,h-0310-1
2025-03-10,JKS - LARANTUKA,C.LESS DRILL MODERN M-13 SET,3,"Rp345,000",1035000,POWER TOOLS,MODERN,HANA,C.LESS DRILL,h-0310-1
2025-03-10,CV. CAHAYA BANGUN PERSADA,ROTARY HAMMER DONG CHENG DZC05-26B,1,"Rp750,000",750000,POWER TOOLS,DONGCHENG,HANA,ROTARY HAMMER,h-0310-1
2025-03-10,JKS - LARANTUKA,PLANER MAKITA M 1901 B,4,"Rp1,096,250",4385000,POWER TOOLS,MAKITA,HANA,PLANER,h-0310-1
2025-03-10,JKS - LARANTUKA,PLANER MODERN M2950,6,"Rp395,000",2370000,POWER TOOLS PT,MODERN,HANA,PLANER,h-0310-1
2025-03-10,JKS - LARANTUKA,PLANER MODERN M2920,6,"Rp370,000",2220000,POWER TOOLS PT,MODERN,HANA,PLANER,h-0310-1
2025-03-10,JKS - LARANTUKA,GERINDA MODERN SIM100B,10,"Rp230,000",2300000,POWER TOOLS PT,MODERN,HANA,GERINDA,h-0310-1
2025-03-10,CASH/TUNAI,SERKEL MAKITA 185X24T D-50522,4,"Rp100,000",400000,ACCESORIS PT,MAKITA,HANA,SERKEL,h-0310-1
2025-03-10,JKS - LARANTUKA,DRILL MODERN M2100C,10,"Rp235,000",2350000,POWER TOOLS,MODERN,HANA,DRILL,h-0310-1
2025-03-10,MERK JKS/SURYA,"TABLE SAW MODERN M-610 (10"")",2,"Rp2,037,500",4075000,POWER TOOLS,MODERN,HANA,TABLE SAW,h-0310-1
2025-03-10,JKS - LARANTUKA,GERINDA MODERN M2360,10,"Rp245,000",2450000,POWER TOOLS PT,MODERN,HANA,GERINDA,h-0310-1
2025-03-10,JKS - LARANTUKA,"GERINDA MODERN M2300B  4"" HIJAU",10,"Rp240,000",2400000,POWER TOOLS PT,MODERN,HANA,GERINDA,h-0310-1
2025-03-10,JKS - LARANTUKA,GERINDA MAKITA M 9513B,4,"Rp580,500",2322000,POWER TOOLS,MAKITA,HANA,GERINDA,h-0310-1
2025-03-10,CASH/TUNAI,GENERATOR WEIMA WMG 7500E BF,1,"Rp6,550,000",6550000,MESIN,WEIMA,HANA,GENERATOR,h-0310-1
2025-03-10,ONLINE 1,SP.COMP KAPASITOR 25MF 0.75HP (35),1,"Rp36,500",36500,TEKNIK,TOKUDA,MICHAEL (LAZADA),SP.COMP KAPASITOR 25MF 0.75HP (35),ml-0310-1
2025-03-10,ONLINE 1,ARMATURE DONG CHENG DSM03-100A (GWS 6-100),1,"Rp90,000",90000,SPARE PART PT,DONGCHENG,MICHAEL (LAZADA),ARMATURE,ml-0310-1
2025-03-10,ONLINE 1,ACCU SPRAYER KANEDA 8A,1,"Rp145,000",145000,SPARE PART KANEDA,KANEDA,MICHAEL (LAZADA),ACCU SPRAYER,ml-0310-1
2025-03-10,ONLINE 1,GERINDA MODERN M2340 V,1,"Rp277,700",277700,POWER TOOLS,MODERN,MICHAEL (LAZADA),GERINDA,ml-0310-1
2025-03-10,ONLINE 1,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0310-2
2025-03-10,ONLINE 1,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0310-2
2025-03-10,ONLINE 1,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0310-3
2025-03-10,ONLINE 1,GERINDA MODERN SIM100B,1,"Rp245,700",245700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0310-4
2025-03-10,ONLINE 1,GERINDA MODERN M2350B,1,"Rp259,700",259700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0310-5
2025-03-10,ONLINE 1,GERINDA MODERN M2350B,1,"Rp259,700",259700,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),GERINDA,ml-0310-5
2025-03-10,ONLINE 1,SANDER MODERN M2500,1,"Rp338,200",338200,POWER TOOLS PT,MODERN,MICHAEL (LAZADA),SANDER,ml-0310-5
2025-03-10,ONLINE 1,"BATU SLEP CUMET 4""X6X16**",1,"Rp4,851",4851,ACCESORIS PT,CUMET,MICHAEL (SHOPEE),BATU SLEP,ms-0310-1
2025-03-10,ONLINE 1,"BATU POTONG WD 4""X1,2",1,"Rp2,800",2800,ACCESORIS PT,WD,MICHAEL (SHOPEE),BATU POTONG,ms-0310-2
2025-03-10,ONLINE 1,"BATU POTONG WD 4""X1,2",3,"Rp2,800",8400,ACCESORIS PT,WD,MICHAEL (SHOPEE),BATU POTONG,ms-0310-3
2025-03-10,ONLINE 1,CARBON BRUSH MODERN CB 411,2,"Rp2,300",4600,SPARE PART PT,MODERN,MICHAEL (SHOPEE),CARBON BRUSH,ms-0310-4
2025-03-10,ONLINE 1,"KIKIR SLIM TEKIRO 4"" GT-ST1553",1,"Rp11,500",11500,TEKNIK,TEKIRO,MICHAEL (SHOPEE),KIKIR SLIM,ms-0310-5
2025-03-10,ONLINE 1,"BATU POTONG AKIK ZEBRA SILVER DMX 4""X1X20X20MM",1,"Rp19,800",19800,ACCESORIS PT,DMX,MICHAEL (SHOPEE),BATU POTONG AKIK ZEBRA SILVER,ms-0310-6
2025-03-10,ONLINE 1,TALI GENDONG SPRAYER,1,"Rp8,700",8700,ACCESORIS MESIN,KANEDA,MICHAEL (SHOPEE),TALI GENDONG SPRAYER,ms-0310-7
2025-03-10,ONLINE 1,GEMBOK KUNINGAN(BC) ATS 25MM #8825,3,"Rp6,900",20700,TEKNIK,ATS,MICHAEL (SHOPEE),GEMBOK KUNINGAN(BC),ms-0310-8
2025-03-10,ONLINE 1,SWITCH RYU RPL 82-3A,1,"Rp10,500",10500,SPARE PART PT,RYU,MICHAEL (SHOPEE),SWITCH,ms-0310-8
2025-03-10,ONLINE 1,SWITCH MODERN M2100C BOR,1,"Rp23,400",23400,SPARE PART PT,MODERN,MICHAEL (SHOPEE),SWITCH,ms-0310-9
2025-03-10,ONLINE 1,SWITCH MODERN M2100C BOR,1,"Rp23,400",23400,SPARE PART PT,MODERN,MICHAEL (SHOPEE),SWITCH,ms-0310-10
2025-03-10,ONLINE 1,SWITCH MODERN M2100C BOR,1,"Rp23,400",23400,SPARE PART PT,MODERN,MICHAEL (SHOPEE),SWITCH,ms-0310-11
2025-03-10,ONLINE 1,SWITCH MODERN M2100C BOR,1,"Rp23,400",23400,SPARE PART PT,MODERN,MICHAEL (SHOPEE),SWITCH,ms-0310-12
2025-03-10,ONLINE 1,"EXT SOCK TEKIRO 1/2""X5"" SC-EB0584",1,"Rp41,000",41000,TEKNIK,TEKIRO,MICHAEL (SHOPEE),EXT SOCK,ms-0310-13
2025-03-10,ONLINE 1,"TANG POTONG TEKIRO 4.5"" PL-DG1290",1,"Rp31,500",31500,TEKNIK,TEKIRO,MICHAEL (SHOPEE),TANG POTONG,ms-0310-14
2025-03-10,ONLINE 1,"EXT SOCK TEKIRO 1/2""X3"" SC-EB0583",1,"Rp38,225",38225,TEKNIK,TEKIRO,MICHAEL (SHOPEE),EXT SOCK,ms-0310-15
2025-03-10,ONLINE 1,"EXT SOCK TEKIRO 1/2""X10"" SC-EB0585",1,"Rp62,425",62425,TEKNIK,TEKIRO,MICHAEL (SHOPEE),EXT SOCK,ms-0310-16
2025-03-10,ONLINE 1,WD 40 MUP 333ML,1,"Rp71,400",71400,TEKNIK,WD-40,MICHAEL (SHOPEE),MUP,ms-0310-17
2025-03-10,ONLINE 1,"KUNCI INGGRIS JETJO 6"" 300380",1,"Rp31,300",31300,TEKNIK,JETJO,MICHAEL (SHOPEE),KUNCI INGGRIS,ms-0310-18
2025-03-10,ONLINE 1,DIE GRINDER MODERN M2310,1,"Rp359,000",359000,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DIE GRINDER,ms-0310-19
2025-03-10,ONLINE 1,DIE GRINDER MODERN M2310,1,"Rp359,000",359000,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DIE GRINDER,ms-0310-20
2025-03-10,ONLINE 1,MATA MITTERSAW ESSEN 7.5X80T (ALM)	,1,"Rp87,500",87500,ACCESORIS PT,ESSEN,MICHAEL (SHOPEE),MATA MITTERSAW,ms-0310-21
2025-03-10,ONLINE 1,SWITCH MODERN M2100C BOR,4,"Rp23,400",93600,SPARE PART PT,MODERN,MICHAEL (SHOPEE),SWITCH,ms-0310-22
2025-03-10,ONLINE 1,OIL TANK COVER GX160/GX200,5,"Rp7,500",37500,SPARE PART  DIESEL,KANEDA,MICHAEL (SHOPEE),OIL TANK COVER GX160/GX200,ms-0310-22
2025-03-10,ONLINE 1,DRILL MODERN M2100B,1,"Rp227,000",227000,POWER TOOLS,MODERN,MICHAEL (SHOPEE),DRILL,ms-0310-23
